,Prices,Beds,Baths,SquareFt,Loc,p/sf
56,310000.0,4,3,2000,"Great Bridge East, Chesapeake, VA",155.0
57,350000.0,4,3,2238,"Fredericksburg, VA",156.38963360142984
58,295000.0,4,3,2016,"Henrico, VA",146.3293650793651
59,305000.0,3,3,1620,"Henrico, VA",188.2716049382716
60,270000.0,4,3,2283,"Western Branch South, Chesapeake, VA",118.26544021024966
61,299750.0,4,2,1750,"South Norfolk, Chesapeake, VA",171.28571428571428
62,260000.0,3,2,2444,"North Chesterfield, VA",106.38297872340425
63,380000.0,5,3,2750,"Midlothian, VA",138.1818181818182
64,489000.0,3,3,2351,"Glen Allen, VA",207.99659719268396
65,285000.0,3,3,1440,"Chesterfield, VA",197.91666666666666
66,250000.0,4,3,2350,"Western Branch South, Chesapeake, VA",106.38297872340425
67,270000.0,3,2,1067,"Fredericksburg, VA",253.04592314901592
68,379000.0,4,3,1940,"Charlottesville, VA",195.36082474226805
69,300000.0,3,2,1905,"Williamsburg, VA",157.48031496062993
70,315000.0,4,4,2695,"North Chesterfield, VA",116.88311688311688
71,234950.0,3,2,1053,"Gloucester, VA",223.12440645773978
72,234900.0,4,2,1568,"Suffolk, VA",149.80867346938774
73,399999.0,4,2,2100,"Montross, VA",190.47571428571428
74,365000.0,3,2,1388,"Forest Hill, Richmond, VA",262.9682997118156
75,739000.0,4,3,2768,"Henrico, VA",266.9797687861272
76,255000.0,5,3,1900,"Suffolk, VA",134.21052631578948
77,299000.0,3,2,1300,"Suffolk, VA",230.0
78,375000.0,3,2,1569,"Suffolk, VA",239.0057361376673
79,285000.0,3,3,1704,"Williamsburg, VA",167.25352112676057
80,189900.0,2,2,979,"British Camp Farms, Richmond, VA",193.97344228804903
81,300000.0,3,3,2144,"Greenbrier West, Chesapeake, VA",139.92537313432837
82,195000.0,3,2,1248,"Indian River, Chesapeake, VA",156.25
83,259900.0,3,3,1363,"Mayfield, Fredericksburg, VA",190.68231841526045
84,500000.0,4,3,2300,"Great Bridge, Chesapeake, VA",217.3913043478261
85,240000.0,4,2,2620,"Mercury Central, Hampton, VA",91.6030534351145
86,310000.0,4,3,2000,"Great Bridge East, Chesapeake, VA",155.0
87,350000.0,4,3,2238,"Fredericksburg, VA",156.38963360142984
88,295000.0,4,3,2016,"Henrico, VA",146.3293650793651
89,305000.0,3,3,1620,"Henrico, VA",188.2716049382716
90,270000.0,4,3,2283,"Western Branch South, Chesapeake, VA",118.26544021024966
91,299750.0,4,2,1750,"South Norfolk, Chesapeake, VA",171.28571428571428
92,260000.0,3,2,2444,"North Chesterfield, VA",106.38297872340425
93,380000.0,5,3,2750,"Midlothian, VA",138.1818181818182
94,489000.0,3,3,2351,"Glen Allen, VA",207.99659719268396
95,285000.0,3,3,1440,"Chesterfield, VA",197.91666666666666
96,250000.0,4,3,2350,"Western Branch South, Chesapeake, VA",106.38297872340425
97,270000.0,3,2,1067,"Fredericksburg, VA",253.04592314901592
98,379000.0,4,3,1940,"Charlottesville, VA",195.36082474226805
99,300000.0,3,2,1905,"Williamsburg, VA",157.48031496062993
100,315000.0,4,4,2695,"North Chesterfield, VA",116.88311688311688
101,234950.0,3,2,1053,"Gloucester, VA",223.12440645773978
102,234900.0,4,2,1568,"Suffolk, VA",149.80867346938774
103,399999.0,4,2,2100,"Montross, VA",190.47571428571428
104,365000.0,3,2,1388,"Forest Hill, Richmond, VA",262.9682997118156
105,739000.0,4,3,2768,"Henrico, VA",266.9797687861272
106,255000.0,5,3,1900,"Suffolk, VA",134.21052631578948
107,299000.0,3,2,1300,"Suffolk, VA",230.0
108,375000.0,3,2,1569,"Suffolk, VA",239.0057361376673
109,285000.0,3,3,1704,"Williamsburg, VA",167.25352112676057
110,189900.0,2,2,979,"British Camp Farms, Richmond, VA",193.97344228804903
111,300000.0,3,3,2144,"Greenbrier West, Chesapeake, VA",139.92537313432837
112,195000.0,3,2,1248,"Indian River, Chesapeake, VA",156.25
113,259900.0,3,3,1363,"Mayfield, Fredericksburg, VA",190.68231841526045
114,500000.0,4,3,2300,"Great Bridge, Chesapeake, VA",217.3913043478261
115,240000.0,4,2,2620,"Mercury Central, Hampton, VA",91.6030534351145
116,310000.0,4,3,2000,"Great Bridge East, Chesapeake, VA",155.0
117,350000.0,4,3,2238,"Fredericksburg, VA",156.38963360142984
118,295000.0,4,3,2016,"Henrico, VA",146.3293650793651
119,305000.0,3,3,1620,"Henrico, VA",188.2716049382716
120,270000.0,4,3,2283,"Western Branch South, Chesapeake, VA",118.26544021024966
121,299750.0,4,2,1750,"South Norfolk, Chesapeake, VA",171.28571428571428
122,260000.0,3,2,2444,"North Chesterfield, VA",106.38297872340425
123,380000.0,5,3,2750,"Midlothian, VA",138.1818181818182
124,489000.0,3,3,2351,"Glen Allen, VA",207.99659719268396
125,285000.0,3,3,1440,"Chesterfield, VA",197.91666666666666
126,250000.0,4,3,2350,"Western Branch South, Chesapeake, VA",106.38297872340425
127,270000.0,3,2,1067,"Fredericksburg, VA",253.04592314901592
128,379000.0,4,3,1940,"Charlottesville, VA",195.36082474226805
129,300000.0,3,2,1905,"Williamsburg, VA",157.48031496062993
130,315000.0,4,4,2695,"North Chesterfield, VA",116.88311688311688
131,234950.0,3,2,1053,"Gloucester, VA",223.12440645773978
132,234900.0,4,2,1568,"Suffolk, VA",149.80867346938774
133,399999.0,4,2,2100,"Montross, VA",190.47571428571428
134,365000.0,3,2,1388,"Forest Hill, Richmond, VA",262.9682997118156
135,739000.0,4,3,2768,"Henrico, VA",266.9797687861272
136,255000.0,5,3,1900,"Suffolk, VA",134.21052631578948
137,299000.0,3,2,1300,"Suffolk, VA",230.0
138,375000.0,3,2,1569,"Suffolk, VA",239.0057361376673
139,285000.0,3,3,1704,"Williamsburg, VA",167.25352112676057
140,189900.0,2,2,979,"British Camp Farms, Richmond, VA",193.97344228804903
141,300000.0,3,3,2144,"Greenbrier West, Chesapeake, VA",139.92537313432837
142,195000.0,3,2,1248,"Indian River, Chesapeake, VA",156.25
143,259900.0,3,3,1363,"Mayfield, Fredericksburg, VA",190.68231841526045
144,500000.0,4,3,2300,"Great Bridge, Chesapeake, VA",217.3913043478261
145,240000.0,4,2,2620,"Mercury Central, Hampton, VA",91.6030534351145
146,310000.0,4,3,2000,"Great Bridge East, Chesapeake, VA",155.0
